CompanyName,Name,Legal
DAAR COMMUNICATIONS PLC,DAAR COMMUNICATIONS,PLC
ALPHA MORGAN CAPITAL MANAGERS LIMITED,ALPHA MORGAN CAPITAL MANAGERS,LIMITED
LINKAGE ASSURANCE PLC,LINKAGE ASSURANCE,PLC
DN TYRE AND RUBBER PLC,DN TYRE AND RUBBER,PLC
ALONATI CAPITAL LIMITED,ALONATI CAPITAL,LIMITED
BLACKBIRCH CAPITAL LIMITED,BLACKBIRCH CAPITAL,LIMITED
AFRICHANGE TECHNOLOGIES AND SERVICES NIGERIA LIMITED,AFRICHANGE TECHNOLOGIES AND SERVICES NIGERIA,LIMITED
LORNA NIGERIA LIMITED,LORNA NIGERIA,LIMITED
JUMPSTART LIMITED,JUMPSTART,LIMITED
CEMENT COMPANY OF NORTHERN NIGERIA PLC,CEMENT COMPANY OF NORTHERN NIGERIA,PLC
SUDELETTRA NIGERIA LIMITED,SUDELETTRA NIGERIA,LIMITED
SERVAPPS LIMITED,SERVAPPS,LIMITED
BERACHAH CHILDREN,BERACHAH CHILDREN,
REPOHOUSE LIMITED,REPOHOUSE,LIMITED
CAVIDEL LIMITED,CAVIDEL,LIMITED
NIGERIA MORTGAGE REFINANCE COMPANY,NIGERIA MORTGAGE REFINANCE,COMPANY
CONSTANT CAPITAL MARKETS AND SECURITIES LIMITED,CONSTANT CAPITAL MARKETS AND SECURITIES,LIMITED
CRUXSTONE DEVELOPMENT AND INVESTMENT LIMITED,CRUXSTONE DEVELOPMENT AND INVESTMENT,LIMITED
JAVIMA INVESTMENT LIMITED,JAVIMA INVESTMENT,LIMITED
ABBE-JOHNSON BUSINESS CONSEPT,ABBE-JOHNSON BUSINESS CONSEPT,
CORDROS SECURITIES LIMITED,CORDROS SECURITIES,LIMITED
GUARANTY TRUST HOLDING COMPANY PLC,GUARANTY TRUST HOLDING COMPANY,PLC
UNILEVER NIGERIA PLC,UNILEVER NIGERIA,PLC
BELFRY INVESTMENTS AND SECURITIES LIMITED,BELFRY INVESTMENTS AND SECURITIES,LIMITED
CORDROS TRUSTEES LIMITED,CORDROS TRUSTEES,LIMITED
PAC ASSET MANAGEMENT LIMITED,PAC ASSET MANAGEMENT,LIMITED
XPAT MARKET SOLUTIONS AND CONSULT LIMITED,XPAT MARKET SOLUTIONS AND CONSULT,LIMITED
JAIZ BANK PLC,JAIZ BANK,PLC
VEGA SECURITIES LIMITED,VEGA SECURITIES,LIMITED
ARM TRADITIONAL ASSET MANAGEMENT LIMITED,ARM TRADITIONAL ASSET MANAGEMENT,LIMITED
IBR-GLOBAL MARKETS LTD,IBR-GLOBAL MARKETS,LTD
MAGRAMS CAPITAL LTD,MAGRAMS CAPITAL,LTD
FORELIGHT ENERGY SOLUTIONS LIMITED,FORELIGHT ENERGY SOLUTIONS,LIMITED
ABBEY MORTGAGE BANK PLC,ABBEY MORTGAGE BANK,PLC
NEVEAH LIMITED,NEVEAH,LIMITED
FRIESLANDCAMPINA WAMCO NIGERIA PLC,FRIESLANDCAMPINA WAMCO NIGERIA,PLC
OANDO PLC,OANDO,PLC
QUANT INVESTMENT MANAGERS LIMITED,QUANT INVESTMENT MANAGERS,LIMITED
TECON OIL SERVICE LTD,TECON OIL SERVICE,LTD
FIRST EXPLORATION AND PETROLEUM DEVELOPMENT COMPANY LIMITED,FIRST EXPLORATION AND PETROLEUM DEVELOPMENT COMPANY,LIMITED
AUTO MERIDIAN LIMITED,AUTO MERIDIAN,LIMITED
MARATHON ASSET AND FUND MANAGEMENT LIMITED,MARATHON ASSET AND FUND MANAGEMENT,LIMITED
THE OAK CAPITAL LIMITED,THE OAK CAPITAL,LIMITED
PARCO ENTERPRISES NIGERIA LIMITED,PARCO ENTERPRISES NIGERIA,LIMITED
AFRICAN STEEL MILLS NIGERIA LIMITED,AFRICAN STEEL MILLS NIGERIA,LIMITED
CONTINENTAL REINSURANCE PLC,CONTINENTAL REINSURANCE,PLC
TWININGS OVALTINE NIGERIA LIMITED,TWININGS OVALTINE NIGERIA,LIMITED
BUA FOODS PLC,BUA FOODS,PLC
CROSWORLD SECURITIES LIMITED,CROSWORLD SECURITIES,LIMITED
DUKIA GOLD AND PRECIOUS METALS REFINING CO. LTD.,DUKIA GOLD AND PRECIOUS METALS REFINING CO,LTD.
MANGO ASSET MANAGEMENT,MANGO ASSET MANAGEMENT,
CDL CAPITAL MARKETS LIMITED,CDL CAPITAL MARKETS,LIMITED
HALO NIGERIA CAPITAL MANAGEMENT LIMITED,HALO NIGERIA CAPITAL MANAGEMENT,LIMITED
LIVINGTRUST MORTGAGE BANK PLC,LIVINGTRUST MORTGAGE BANK,PLC
IHS (NIGERIA) LIMITED,IHS (NIGERIA),LIMITED
CLARKE ENERGY NIGERIA LTD,CLARKE ENERGY NIGERIA,LTD
CFAO MOTORS NIG LTD,CFAO MOTORS NIG,LTD
NIGERIAN EXCHANGE GROUP,NIGERIAN EXCHANGE,GROUP
STUDIO PRESS NIGERIA PLC,STUDIO PRESS NIGERIA,PLC
BASEFLUID EXCHANGES LIMITED,BASEFLUID EXCHANGES,LIMITED
FSDH ASSET MANAGEMENT LIMITED,FSDH ASSET MANAGEMENT,LIMITED
COVENSOFT,COVENSOFT,
INTERSWITCH LIMITED,INTERSWITCH,LIMITED
PROVIDUS BANK LIMITED,PROVIDUS BANK,LIMITED
ARBITENCY TECHNOLOGIES,ARBITENCY TECHNOLOGIES,
QUADRATIX LIMITED,QUADRATIX,LIMITED
ND WESTERN LIMITED,ND WESTERN,LIMITED
WEMA BANK PLC,WEMA BANK,PLC
MINERALITE NIGERIA LIMITED,MINERALITE NIGERIA,LIMITED
RNDC ALLIANCE WEST AFRICA LIMITED,RNDC ALLIANCE WEST AFRICA,LIMITED
YELLOWKEED MUSIC COMPANY,YELLOWKEED MUSIC,COMPANY
LAGOS COMMODITIES AND FUTURES EXCHANGE,LAGOS COMMODITIES AND FUTURES EXCHANGE,
IAC GLOBAL INVESTMENT LIMITED,IAC GLOBAL INVESTMENT,LIMITED
SUNBETH GLOBAL CONCEPTS LIMITED,SUNBETH GLOBAL CONCEPTS,LIMITED
ATLAS REGISTRARS LIMITED,ATLAS REGISTRARS,LIMITED
MAERSK NIGERIA LIMITED,MAERSK NIGERIA,LIMITED
MARATHON CAPITAL MARKETS LIMMITED,MARATHON CAPITAL MARKETS LIMMITED,
ACCESS HOLDINGS PLC,ACCESS HOLDINGS,PLC
KONGA ONLINE NIGERIA LIMITED,KONGA ONLINE NIGERIA,LIMITED
MIKANO INTERNATIONAL LIMITED,MIKANO INTERNATIONAL,LIMITED
NAGODE INDUSTRIES LIMITED,NAGODE INDUSTRIES,LIMITED
PIPC SECURITIES LIMITED,PIPC SECURITIES,LIMITED
SECURITY SWAPS LIMITED SECURITY,SECURITY SWAPS LIMITED SECURITY,
PARDEE FOODS NIGERIA LIMITED,PARDEE FOODS NIGERIA,LIMITED
TKB CAP LTD,TKB CAP,LTD
COMPASS INVESTMENTS AND SECURITIES LIMITED,COMPASS INVESTMENTS AND SECURITIES,LIMITED
FSDH NOMINEES LIMITED,FSDH NOMINEES,LIMITED
KINLOS CAPITAL PARTNERS LIMITED,KINLOS CAPITAL PARTNERS,LIMITED
APM TERMINALS APAPA LTD,APM TERMINALS APAPA,LTD
PRISM EDGE OPTIMUS ENTERPRISE,PRISM EDGE OPTIMUS ENTERPRISE,
CADBURY NIGERIA PLC,CADBURY NIGERIA,PLC
BPL NIGERIA LIMITED,BPL NIGERIA,LIMITED
SEPLAT ENERGY OFFSHORE LIMITED,SEPLAT ENERGY OFFSHORE,LIMITED
LAFARGE AFRICA PLC,LAFARGE AFRICA,PLC
AVA SECURITIES LIMITED,AVA SECURITIES,LIMITED
APEACHES CAPITAL LIMITED,APEACHES CAPITAL,LIMITED
FIRMUS ASSET MANAGEMENT LIMITED,FIRMUS ASSET MANAGEMENT,LIMITED
NCR NIGERIA PLC,NCR NIGERIA,PLC
TASK SYSTEMS LIMITED,TASK SYSTEMS,LIMITED
AYOOLA INVESTMENT MANAGEMENT LIMITED,AYOOLA INVESTMENT MANAGEMENT,LIMITED
GEREGU POWER PLC,GEREGU POWER,PLC
STI ASSETS MANAGEMENT LIMITED,STI ASSETS MANAGEMENT,LIMITED
BAIGE CAPITAL LTD,BAIGE CAPITAL,LTD
BLUESTEM CAPITAL LIMITED,BLUESTEM CAPITAL,LIMITED
BETA GLASS PLC,BETA GLASS,PLC
CORDROS ASSET MANAGEMENT LIMITED,CORDROS ASSET MANAGEMENT,LIMITED
COMMODITIES TRADENET LIMITED,COMMODITIES TRADENET,LIMITED
ACCESS INVESTORS SERVICES NOMINEES LIMITED,ACCESS INVESTORS SERVICES NOMINEES,LIMITED
ANCHORIA ASSET MANAGEMENT LIMITED,ANCHORIA ASSET MANAGEMENT,LIMITED
STERLING FINANCIAL HOLDINGS COMPANY PLC,STERLING FINANCIAL HOLDINGS COMPANY,PLC
COMERCIO PARTNERS LIMITED,COMERCIO PARTNERS,LIMITED
BUA CEMENT PLC,BUA CEMENT,PLC
FALCON SECURITIES LIMITED,FALCON SECURITIES,LIMITED
GREAT NIGERIA INSURANCE PLC,GREAT NIGERIA INSURANCE,PLC
MUTA TECHNOLOGIES LIMITED,MUTA TECHNOLOGIES,LIMITED
PINE PETOSAN LIMITED,PINE PETOSAN,LIMITED
RESOLUTION TRUST AND INVESTMENTS CO. LTD,RESOLUTION TRUST AND INVESTMENTS CO,LTD
RESOLUTION SECURTIES LTD,RESOLUTION SECURTIES,LTD
ORITSETIMEYIN LOGISTICS LIMITED,ORITSETIMEYIN LOGISTICS,LIMITED
ATLANTIS MARINE OIL AND GAS LIMITED,ATLANTIS MARINE OIL AND GAS,LIMITED
ARDOVA PLC,ARDOVA,PLC
ASSETIUM CAPITAL MANAGEMENT LIMITED,ASSETIUM CAPITAL MANAGEMENT,LIMITED
PORTFOLIO ADVISERS LTD,PORTFOLIO ADVISERS,LTD
NIGERIAN AVIATION HANDLING COMPANY PLC,NIGERIAN AVIATION HANDLING COMPANY,PLC
DUNBELL SECURITIES LIMITED,DUNBELL SECURITIES,LIMITED
FORTHRIGHT SECURITIES AND INVESTMENTS LIMITED,FORTHRIGHT SECURITIES AND INVESTMENTS,LIMITED
DEVELOPMENT BANK OF NIGERIA,DEVELOPMENT BANK OF NIGERIA,
FUTUREVIEW ASSET MANAGEMENT LIMITED,FUTUREVIEW ASSET MANAGEMENT,LIMITED
VFD GROUP PLC,VFD GROUP,PLC
MECURE INDUSTRIES PLC,MECURE INDUSTRIES,PLC
RADIX CAPITAL PARTNERS LIMITED,RADIX CAPITAL PARTNERS,LIMITED
LSEF LIMITED,LSEF,LIMITED
GREIF NIGERIA PLC,GREIF NIGERIA,PLC
CRUSADERSTERLING PENSIONS LIMITED,CRUSADERSTERLING PENSIONS,LIMITED
ECOBANK NOMINEES LIMITED,ECOBANK NOMINEES,LIMITED
CONSOLIDATED HALLMARK HOLDINGS PLC,CONSOLIDATED HALLMARK HOLDINGS,PLC
GZ INDUSTRIES LIMITED,GZ INDUSTRIES,LIMITED
SCM CAPITAL ASSET MANAGEMENT LIMITED,SCM CAPITAL ASSET MANAGEMENT,LIMITED
GDL ASSET MANAGMENT LTD,GDL ASSET MANAGMENT,LTD
AFEX CAPITAL LIMITED,AFEX CAPITAL,LIMITED
TRANSCORP POWER PLC,TRANSCORP POWER,PLC
CHAMS PLC,CHAMS,PLC
BAMBOO SYSTEMS TECHNOLOGY LIMITED,BAMBOO SYSTEMS TECHNOLOGY,LIMITED
DANGOTE SUGAR REFINERY PLC,DANGOTE SUGAR REFINERY,PLC
EMERGING AFRICA ASSET MANAGEMENT LIMITED,EMERGING AFRICA ASSET MANAGEMENT,LIMITED
CRANE SECURITIES LIMITED,CRANE SECURITIES,LIMITED
OPTIMUM GLOBAL CAPITAL MANAGEMENT LTD,OPTIMUM GLOBAL CAPITAL MANAGEMENT,LTD
BESTWORTH ASSETS AND TRUST LTD,BESTWORTH ASSETS AND TRUST,LTD
LEADWAY ASSET MANAGEMENT COMPANY LIMITED,LEADWAY ASSET MANAGEMENT COMPANY,LIMITED
EAT AND GO FINANCE SPV PLC,EAT AND GO FINANCE SPV,PLC
AVA GLOBAL ASSET MANAGERS LIMITED,AVA GLOBAL ASSET MANAGERS,LIMITED
PAGATECH LIMITED,PAGATECH,LIMITED
MRS OIL NIGERIA PLC,MRS OIL NIGERIA,PLC
SPARKLET ENERGIES LIMITED,SPARKLET ENERGIES,LIMITED
FUNDCO CAPITAL MANAGERS LIMITED,FUNDCO CAPITAL MANAGERS,LIMITED
SPARKLE MICROFINANCE BANK LIMITED,SPARKLE MICROFINANCE BANK,LIMITED
FINANCIAL TRUST CO. NIG. LTD,FINANCIAL TRUST CO. NIG,LTD
ETERNA PLC,ETERNA,PLC
CYPRUS BAMFORD LTD,CYPRUS BAMFORD,LTD
NORRENBERGER ASSET MANAGEMENT LIMITED,NORRENBERGER ASSET MANAGEMENT,LIMITED
ARADEL HOLDINGS PLC,ARADEL HOLDINGS,PLC
CONOIL PLC,CONOIL,PLC
CAPITALFIELD ASSET MANAGEMENT COMPANY LIMITED,CAPITALFIELD ASSET MANAGEMENT COMPANY,LIMITED
COMERCIO PARTNERS TRADING LIMITED,COMERCIO PARTNERS TRADING,LIMITED
SYCAMORE INVESTMENT AND ASSET MANAGEMENT LIMITED,SYCAMORE INVESTMENT AND ASSET MANAGEMENT,LIMITED
INTERNATIONAL ENERGY INSURANCE PLC,INTERNATIONAL ENERGY INSURANCE,PLC
AAG CAPITAL LIMITED,AAG CAPITAL,LIMITED
ELLINGTON MICROFINANCE BANK LIMITED,ELLINGTON MICROFINANCE BANK,LIMITED
SHELL THRIFT AND LOAN FUND TRUSTEES NIGERIA LTD,SHELL THRIFT AND LOAN FUND TRUSTEES NIGERIA,LTD
PAY AFRIONE LIMITED,PAY AFRIONE,LIMITED
SHALOM INVESTMENT AND FINANCIAL SERVICES LIMITED,SHALOM INVESTMENT AND FINANCIAL SERVICES,LIMITED
TRINITY SECURITIES LIMITED,TRINITY SECURITIES,LIMITED
TERRALIX NIGERIA LIMITED,TERRALIX NIGERIA,LIMITED
CHAMPION BREWERIES PLC,CHAMPION BREWERIES,PLC
HALLIBURTON OPERATIONS NIGERIA LIMITED,HALLIBURTON OPERATIONS NIGERIA,LIMITED
CHEMICAL AND ALLIED PRODUCTS PLC,CHEMICAL AND ALLIED PRODUCTS,PLC
HALDANE MCCALL PLC,HALDANE MCCALL,PLC
ALPHA MORGAN BANK LIMITED,ALPHA MORGAN BANK,LIMITED
HALLIBURTON ENERGY SERVICES NIGERIA LIMITED,HALLIBURTON ENERGY SERVICES NIGERIA,LIMITED
FAN MILK PLC,FAN MILK,PLC
SUPRA COMMERCIAL TRUST LIMITED,SUPRA COMMERCIAL TRUST,LIMITED
BRITISH AMERICAN TOBACCO NIGERIA LIMITED,BRITISH AMERICAN TOBACCO NIGERIA,LIMITED
BRITISH AMERICAN TOBACCO MARKETING NIGERIA LIMITED,BRITISH AMERICAN TOBACCO MARKETING NIGERIA,LIMITED
GOLDEN CAPITAL PLC,GOLDEN CAPITAL,PLC
FIL CAPITAL AND ADVISORY LIMITED,FIL CAPITAL AND ADVISORY,LIMITED
PAXHILL MINERVA REGISTRARS LIMITED,PAXHILL MINERVA REGISTRARS,LIMITED
MYRTLE ASSET MANAGEMENT AND TRUST LIMITED,MYRTLE ASSET MANAGEMENT AND TRUST,LIMITED
FMDQ DEPOSITORY LIMITED,FMDQ DEPOSITORY,LIMITED
MARBLE ADVISORY LTD,MARBLE ADVISORY,LTD
SEVEN-UP BOTTLING COMPANY PLC,SEVEN-UP BOTTLING COMPANY,PLC
FIDUCIARY SERVICES LIMITED,FIDUCIARY SERVICES,LIMITED
FUNDVINE BERKSHIRE ASSETS MANAGEMENT LIMITED,FUNDVINE BERKSHIRE ASSETS MANAGEMENT,LIMITED
LANCELOT REGISTRARS AND INVESTOR RELATIONS LTD,LANCELOT REGISTRARS AND INVESTOR RELATIONS,LTD
FICUS CAPITAL AND INVESTMENT MANAGEMENT LTD,FICUS CAPITAL AND INVESTMENT MANAGEMENT,LTD
GOLDEN SECURITIES LIMITED,GOLDEN SECURITIES,LIMITED
SAVEST FINANCIAL SERVICES LIMITED,SAVEST FINANCIAL SERVICES,LIMITED
AZTRAN GLOBAL INVESTMENTS LIMITED,AZTRAN GLOBAL INVESTMENTS,LIMITED
VEEPEE INDUSTRIES LIMITED,VEEPEE INDUSTRIES,LIMITED
REGIUS ASSET MANAGEMENT LIMITED,REGIUS ASSET MANAGEMENT,LIMITED
RMB NIGERIA ASSET MANAGEMENT LIMITED,RMB NIGERIA ASSET MANAGEMENT,LIMITED
WAPIC INSURANCE PLC,WAPIC INSURANCE,PLC
PRESCO PLC,PRESCO,PLC
ONE TRUST ASSET MANAGEMENT COMPANY LIMITED,ONE TRUST ASSET MANAGEMENT COMPANY,LIMITED
FOXTROT O AND G COMPANY NIGERIA LIMITED,FOXTROT O AND G COMPANY NIGERIA,LIMITED
CORDROS REGISTRARS LIMITED,CORDROS REGISTRARS,LIMITED
PARTHIAN CAPITAL LIMITED,PARTHIAN CAPITAL,LIMITED
BGL SECURITIES LIMITED,BGL SECURITIES,LIMITED
BGL ASSET MANAGEMENT LIMITED,BGL ASSET MANAGEMENT,LIMITED
CRANEBURG EKSG MOTORWAY COMPANY PLC,CRANEBURG EKSG MOTORWAY COMPANY,PLC
TSL SPV PLC,TSL SPV,PLC
FINANCIAL AND ANALYTICS CAPITAL LIMITED,FINANCIAL AND ANALYTICS CAPITAL,LIMITED
TOTAL NIGERIA PLC,TOTAL NIGERIA,PLC
NORTH SOUTH POWER COMPANY LIMITED,NORTH SOUTH POWER COMPANY,LIMITED
TRANSGRID ENERCO LIMITED,TRANSGRID ENERCO,LIMITED
THE BROOK SECURITIES LIMITED,THE BROOK SECURITIES,LIMITED
LIGHTSOURCE ASSOCIATES LIMITED,LIGHTSOURCE ASSOCIATES,LIMITED
FUTUREVIEW SECURITIES LIMITED,FUTUREVIEW SECURITIES,LIMITED
MAVEN ASSET MANAGEMENT LIMITED,MAVEN ASSET MANAGEMENT,LIMITED
CORONATION CAPITAL LIMITED,CORONATION CAPITAL,LIMITED
MULTIVERSE PLC,MULTIVERSE,PLC
GREENWICH ASSET MANAGEMENT LIMITED,GREENWICH ASSET MANAGEMENT,LIMITED
CURRENZO NIGERIA LIMITED,CURRENZO NIGERIA,LIMITED
SKYE BANK PLC,SKYE BANK,PLC
SFS CAPITAL NIGERIA LIMITED,SFS CAPITAL NIGERIA,LIMITED
TRANSNATIONAL CORPORATION OF NIGERIA PLC,TRANSNATIONAL CORPORATION OF NIGERIA,PLC
BOC GASES NIGERIA PLC,BOC GASES NIGERIA,PLC
DANGOTE CEMENT PLC,DANGOTE CEMENT,PLC
IKEJA HOTEL PLC,IKEJA HOTEL,PLC
SEPLAT ENERGY PLC,SEPLAT ENERGY,PLC
UNITY BANK PLC,UNITY BANK,PLC
DIAMOND BANK PLC,DIAMOND BANK,PLC
EKOCORP PLC,EKOCORP,PLC
AXA MANSARD INSURANCE PLC,AXA MANSARD INSURANCE,PLC
COMPUTER WAREHOUSE GROUP PLC,COMPUTER WAREHOUSE GROUP,PLC
MORISON INDUSTRIES PLC,MORISON INDUSTRIES,PLC
MUTUAL BENEFITS ASSURANCE PLC,MUTUAL BENEFITS ASSURANCE,PLC
STANDARD ALLIANCE INSURANCE PLC,STANDARD ALLIANCE INSURANCE,PLC
STERLING BANK PLC,STERLING BANK,PLC
OKOMU OIL PALM COMPANY PLC,OKOMU OIL PALM COMPANY,PLC
NORTHERN NIGERIA FLOUR MILLS PLC,NORTHERN NIGERIA FLOUR MILLS,PLC
MAY BAKER NIGERIA PLC,MAY BAKER NIGERIA,PLC
INTERNATIONAL BREWERIES PLC,INTERNATIONAL BREWERIES,PLC
EQUITY ASSURANCE PLC,EQUITY ASSURANCE,PLC
ELLAH LAKES PLC,ELLAH LAKES,PLC
ABC TRANSPORT PLC,ABC TRANSPORT,PLC
LASACO ASSURANCE PLC,LASACO ASSURANCE,PLC
CUTIX PLC,CUTIX,PLC
CUTIX PLC,CUTIX,PLC
GLAXOSMITHKLINE CONSUMER NIGERIA PLC,GLAXOSMITHKLINE CONSUMER NIGERIA,PLC
SIGMA SECURITIES LIMITED,SIGMA SECURITIES,LIMITED
VALMON SECURITIES LIMITED,VALMON SECURITIES,LIMITED
MOUNTAIN INVESTMENT AND SECURITIES LIMITED,MOUNTAIN INVESTMENT AND SECURITIES,LIMITED
REGENCY ASSETS MANAGEMENT LIMITED,REGENCY ASSETS MANAGEMENT,LIMITED
REWARD INVESTMENTS SERVICIES LIMITED,REWARD INVESTMENTS SERVICIES,LIMITED
INTERSTATE SECURITIES LIMITED,INTERSTATE SECURITIES,LIMITED
ANCHORIA INVESTMENT AND SECURITIES LTD,ANCHORIA INVESTMENT AND SECURITIES,LTD
CHAPEL HILL DENHAM SECURITIES LIMITED,CHAPEL HILL DENHAM SECURITIES,LIMITED
FIDELITY SECURITIES LIMITED,FIDELITY SECURITIES,LIMITED
City National Corporation,City National,Corporation
MASTER LARGE CAP SERIES LLC - Master Advantage Large Cap Core Portfolio,MASTER LARGE CAP SERIES LLC - Master Advantage Large Cap Core Portfolio,
DRYDEN ARIZONA REINSURANCE TERM COMPANY,DRYDEN ARIZONA REINSURANCE TERM,COMPANY
Bently Nevada Sweden AB,Bently Nevada Sweden,AB
"AVENUE CAPITAL MANAGEMENT II, L.P.","AVENUE CAPITAL MANAGEMENT II, L.P.",
Reynolds American Inc.,Reynolds American,Inc.
WORLD PROJECTS CORPORATION,WORLD PROJECTS,CORPORATION
"NOBLE ENERGY, INC.",NOBLE ENERGY,INC.
"D. E. SHAW PLASMA PORTFOLIOS, L.L.C.","D. E. SHAW PLASMA PORTFOLIOS, L.L.C.",
"Black Stone Natural Resources II, L.P.","Black Stone Natural Resources II, L.P.",
ProShares UltraPro QQQ,ProShares UltraPro QQQ,
CELGENE LOGISTICS SÀRL,CELGENE LOGISTICS SÀRL,
DELL INDIA PRIVATE LIMITED,DELL INDIA,PRIVATE LIMITED
"KESTREL FUND, L.P.","KESTREL FUND, L.P.",
AQR R.C. EQUITY AUSTRALIA FUND,AQR R.C. EQUITY AUSTRALIA FUND,
"TD Bank, National Association","TD Bank, National Association",
Select Bond Portfolio,Select Bond Portfolio,
THE BARCLAYS BANK UK RETIREMENT FUND - BARCLAYS BANK SECTION,THE BARCLAYS BANK UK RETIREMENT FUND - BARCLAYS BANK SECTION,
"MONDRIAN GLOBAL DEBT OPPORTUNITIES FUND, L.P.","MONDRIAN GLOBAL DEBT OPPORTUNITIES FUND, L.P.",
"Jen-Tex Delis, Inc.",Jen-Tex Delis,Inc.
JNL/PIMCO INVESTMENT GRADE CREDIT BOND FUND,JNL/PIMCO INVESTMENT GRADE CREDIT BOND FUND,
Connecticut & K Associates LLC,Connecticut & K Associates,LLC
PIMCO RealEstatePLUS Collective Trust,PIMCO RealEstatePLUS Collective Trust,
PACCAR PARTS MEXICO SA DE CV,PACCAR PARTS MEXICO SA DE,CV
THE SEI FUNDAMENTAL U.K. EQUITY FUND,THE SEI FUNDAMENTAL U.K. EQUITY FUND,
Tigris Investment Holdings GP LLC,Tigris Investment Holdings GP,LLC
Administradora de Fondo de Pensiones Capital S.A.,Administradora de Fondo de Pensiones Capital S.A.,
Wellington Global Research Equity Fund (Australia),Wellington Global Research Equity Fund (Australia),
GARD COMMON CONTRACTUAL FUND - GARD GLOBAL CREDIT BOND FUND II,GARD COMMON CONTRACTUAL FUND - GARD GLOBAL CREDIT BOND FUND II,
EMC INTERNATIONAL COMPANY,EMC INTERNATIONAL,COMPANY
GLOBAL COMMODITY OPPORTUNITY MASTER FUND LTD.,GLOBAL COMMODITY OPPORTUNITY MASTER FUND,LTD.
Laurion Capital Global Markets Master Fund Ltd.,Laurion Capital Global Markets Master Fund,Ltd.
GIA TECHNOLOGY KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG,GIA TECHNOLOGY KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG,
"CLOUD SOFTWARE GROUP, INC.",CLOUD SOFTWARE GROUP,INC.
"BROADBILL PARTNERS, L.P.","BROADBILL PARTNERS, L.P.",
"DKF TRADING PARTNERS, L.L.C.","DKF TRADING PARTNERS, L.L.C.",
Drawbridge Global Macro Master Fund Ltd,Drawbridge Global Macro Master Fund,Ltd
GE Financing (Luxembourg) S.à r.l.,GE Financing (Luxembourg) S.à r.l.,
"DISCOVERY GLOBAL OPPORTUNITY MASTER FUND, LTD.",DISCOVERY GLOBAL OPPORTUNITY MASTER FUND,LTD.
CS Investment Funds 14 - Credit Suisse (Lux) Inflation Linked USD Bond Fund,CS Investment Funds 14 - Credit Suisse (Lux) Inflation Linked USD Bond Fund,
GOLDMAN SACHS US EQUITY ESG PORTFOLIO,GOLDMAN SACHS US EQUITY ESG PORTFOLIO,
SNAP-ON FINANCE B.V.,SNAP-ON FINANCE B.V.,
"S & L TRAVEL PARTNERS, INC.",S & L TRAVEL PARTNERS,INC.
"Western Refining, Inc.",Western Refining,Inc.
Map 98 Segregated Portfolio,Map 98 Segregated Portfolio,
FIRST ALLMERICA FINANCIAL LIFE INSURANCE COMPANY,FIRST ALLMERICA FINANCIAL LIFE INSURANCE,COMPANY
JANUS HENDERSON CONTRARIAN FUND,JANUS HENDERSON CONTRARIAN FUND,
JPMorgan Global Allocation Fund,JPMorgan Global Allocation Fund,
Russell Investments Tax-Managed US Equity Class,Russell Investments Tax-Managed US Equity Class,
"Ellington Mortgage Fund-SC, Ltd.",Ellington Mortgage Fund-SC,Ltd.
AGF Income Focus Fund,AGF Income Focus Fund,
"CREDIT SUISSE CAYMAN COMMODITY FUND II, LTD.",CREDIT SUISSE CAYMAN COMMODITY FUND II,LTD.
THE MARKETING STORE WORLDWIDE (EUROPE) LIMITED,THE MARKETING STORE WORLDWIDE (EUROPE),LIMITED
Raytheon Deutschland GmbH,Raytheon Deutschland,GmbH
"Rockwood Asset Management, LLC",Rockwood Asset Management,LLC
INVITROGEN EUROPE LIMITED,INVITROGEN EUROPE,LIMITED
Archview Master Fund Ltd,Archview Master Fund,Ltd
"Samana Capital, L.P.","Samana Capital, L.P.",
John Hancock Variable Insurance Trust - Natural Resources Trust,John Hancock Variable Insurance Trust - Natural Resources Trust,
"WALNUT CREEK ENERGY, LLC",WALNUT CREEK ENERGY,LLC
VNT III EMP LP,VNT III EMP,LP
BOND US PLUS,BOND US PLUS,
SIIT Long Duration Credit Fund,SIIT Long Duration Credit Fund,
Empower Large Cap Value Fund,Empower Large Cap Value Fund,
"65th Street Restaurant, LLC",65th Street Restaurant,LLC
BENNELONG GLOBAL SPECIAL OPPORTUNITIES MASTER FUND LIMITED,BENNELONG GLOBAL SPECIAL OPPORTUNITIES MASTER FUND,LIMITED
LVIP American Balanced Allocation Fund,LVIP American Balanced Allocation Fund,
CARRINGGATE LIMITED,CARRINGGATE,LIMITED
WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION,WESTINGHOUSE AIR BRAKE TECHNOLOGIES,CORPORATION
Fidelity Advisor Floating Rate High Income Fund,Fidelity Advisor Floating Rate High Income Fund,
UBS (Irl) Investor Selection PLC - UBS (Irl) Investor Selection - Equity Opportunity Long Short Fund,UBS (Irl) Investor Selection PLC - UBS (Irl) Investor Selection - Equity Opportunity Long Short Fund,
Wellington Trust Company - National Association Multiple Collective Investment Funds Trust - Select Mid Cap Value Portfolio,Wellington Trust Company - National Association Multiple Collective Investment Funds Trust - Select Mid Cap Value Portfolio,
